Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_70,7/19/2021,T7_R1_VR_F_5b,73.4,55.2,63,54.1,79.6,55.3,26,1.5,3.5,
MCSP_71,7/19/2021,T7_R1_VR_C_5c,58.5,35.4,43.2,65.3,71.5,64.9,8,0.3,9,
MCSP_72,7/19/2021,T7_R1_VR_N_5d,69.6,48.5,54.2,49.4,76.9,58.1,33,1.5,3,
MCSP_73,7/19/2021,T7_R3_VR_C_1a,53.5,69.2,49.8,61.7,68.1,50.5,48,1.5,2,
MCSP_74,7/19/2021,T7_R3_VR_F_1b,43.6,41.3,54.9,56.4,46.9,56,20,0.5,3,
MCSP_75,7/19/2021,T7_R3_VR_N_1d,51.5,54.2,61.4,51.4,51.1,59.1,23,1.3,3,
MCSP_76,7/19/2021,T7_R3_IR_C_6a,33.6,40.1,60.5,54.3,56.4,63.9,11,0.5,3,
MCSP_77,7/19/2021,T7_R3_IR_N_6b,41.4,60.9,67.4,47.8,50.4,48.5,26,2,4,
MCSP_78,7/19/2021,T7_R3_IR_F_6c,33.1,34.2,42.1,63.6,56.5,60.2,15,0.3,1.5,
MCSP_79,7/19/2021,T7_R3_D1_F_7b,38.9,47.5,52.3,45.5,79.1,67.3,8,0.5,1.5,
MCSP_80,7/19/2021,T7_R3_D1_C_7c,48.3,60.1,61.5,59.8,55.3,64.1,17,1.3,3.5,
MCSP_81,7/19/2021,T7_R3_D1_N_7d,35.5,41.4,32.8,46.3,48.4,56.9,51,1.5,2.5,
MCSP_82,7/19/2021,T7_R4_IR_C_3a,58.4,48.1,61.1,62.1,52,69.2,53,2.3,3,
MCSP_83,7/19/2021,T7_R4_IR_F_3b,56.9,55.6,78.6,46.1,78.8,60.3,194,4.4,6,
MCSP_84,7/19/2021,T7_R4_IR_N_3c,48.5,45.5,48.4,67.9,63.4,60.9,25,0.6,3,
MCSP_85,7/19/2021,T7_R4_D1_C_5a,35.5,40.5,61.1,44.3,66.3,54.6,57,1.3,1.5,
MCSP_86,7/19/2021,T7_R4_D1_F_5c,40.5,46.3,56.1,54.1,62.5,70.6,87,1.3,1.5,
MCSP_87,7/19/2021,T7_R4_D1_N_5d,41.2,42.1,47.5,47.5,51.9,41.6,188,4,1,
MCSP_88,7/19/2021,T7_R4_VR_N_7b,49.1,52.5,54.1,52.1,56.1,66.5,44,2,5.5,
MCSP_89,7/19/2021,T7_R4_VR_C_7c,42.9,40.4,27.5,32.4,40.6,48.4,105,1.5,8.5,
MCSP_90,7/19/2021,T7_R4_VR_F_7d,41.2,32.1,57.1,60.6,48.3,54.5,92,2,4,
MCSP_91,7/19/2021,T7_R2_D1_F_1a,38.1,42.2,60.1,47.4,62.1,75.2,9,0.5,2,
MCSP_92,7/19/2021,T7_R2_D1_N_1b,51.5,54.6,49.5,58.8,53.2,68.3,42,1.5,2,
MCSP_93,7/19/2021,T7_R2_D1_C_1c,69.1,86.1,60.5,54.3,65.2,76.6,30,1.3,8.5,
MCSP_94,7/19/2021,T7_R2_VR_F_3a,74.4,50.5,68.5,44.4,59.9,53.4,54,2,1.5,
MCSP_95,7/19/2021,T7_R2_VR_N_3b,42.5,43.9,52.5,66.4,72.5,63.4,22,0.6,6,
MCSP_96,7/19/2021,T7_R2_VR_C_3c,46.5,38.4,35.9,50.9,51.9,73.1,21,1.5,2,
